Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,Avg_F1
Loan,32,0.97131931166348,0.942529716751237,0.0100465206073324,8,24,4773,94,0.9742539976883792,0.9076762659336635
Machine,32,0.8803418803418803,0.942529716751237,0.0100465206073324,8,24,4773,94,0.9742539976883792,0.9076762659336635
personality,33,0.8989547038327527,0.9141362604455774,0.0454114139931448,13,99,3233,118,0.989465534702127,0.9025390843403349
Heart,33,0.875,0.9141362604455774,0.0454114139931448,13,99,3233,118,0.989465534702127,0.9025390843403349
Loan,33,0.9753320683111956,0.9141362604455774,0.0454114139931448,13,99,3233,118,0.989465534702127,0.9025390843403349
Machine,33,0.8608695652173913,0.9141362604455774,0.0454114139931448,13,99,3233,118,0.989465534702127,0.9025390843403349
personality,34,0.9166666666666666,0.7135683898949863,0.0057072028501947,9,54,3284,87,0.69489963499872,0.9196770264747184
Heart,34,0.8844884488448845,0.7135683898949863,0.0057072028501947,9,54,3284,87,0.69489963499872,0.9196770264747184
Loan,34,0.9754253308128544,0.7135683898949863,0.0057072028501947,9,54,3284,87,0.69489963499872,0.9196770264747184
Machine,34,0.902127659574468,0.7135683898949863,0.0057072028501947,9,54,3284,87,0.69489963499872,0.9196770264747184
personality,35,0.8766157461809636,0.7301598792637071,0.0706561104198059,14,67,4546,147,0.8273234413341887,0.8981257123518759
Heart,35,0.8721311475409836,0.7301598792637071,0.0706561104198059,14,67,4546,147,0.8273234413341887,0.8981257123518759
Loan,35,0.9791271347248576,0.7301598792637071,0.0706561104198059,14,67,4546,147,0.8273234413341887,0.8981257123518759
Machine,35,0.8646288209606987,0.7301598792637071,0.0706561104198059,14,67,4546,147,0.8273234413341887,0.8981257123518759
personality,36,0.9046511627906976,0.637469907131237,0.0081447288663451,14,22,1743,57,0.9915571433100036,0.9162441216318827
Heart,36,0.8970099667774086,0.637469907131237,0.0081447288663451,14,22,1743,57,0.9915571433100036,0.9162441216318827
Loan,36,0.9734848484848484,0.637469907131237,0.0081447288663451,14,22,1743,57,0.9915571433100036,0.9162441216318827
Machine,36,0.8898305084745762,0.637469907131237,0.0081447288663451,14,22,1743,57,0.9915571433100036,0.9162441216318827
personality,37,0.8779342723004695,0.794696861183782,0.1755967873387636,10,98,4943,116,0.8307615538505436,0.894356611120678
Heart,37,0.8533333333333334,0.794696861183782,0.1755967873387636,10,98,4943,116,0.8307615538505436,0.894356611120678
