dataset,data_fraction,model,tuning_method,iteration,AUC,rf__max_depth,rf__min_samples_split,rf__n_estimators,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample,sgd__alpha,sgd__l1_ratio,sgd__penalty
qsar-biodeg,0.25,XGBoost,BayesSearch,27,0.8081011262045745,,,,0.975251109185602,7,717,0.17665369349474153,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,28,0.8548908626494833,,,,0.001,7,2000,0.8232685826991315,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,29,0.8518605596191804,,,,1.0,7,2000,0.7387739374542059,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,30,0.8233861604551259,,,,0.14455509024140606,3,2000,0.26586739387359404,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,31,0.8572884012539185,,,,0.001206150677201657,2,1684,0.5389706349249687,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,32,0.8598513874375944,,,,0.0030925428660712865,15,1067,0.329946563146798,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,33,0.8473499361430396,,,,0.003565863470633036,13,177,0.1,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,34,0.8557703471496575,,,,0.002446591486987592,9,1346,0.8595040514313933,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,35,0.8570329734122837,,,,0.002680059762478456,1,2000,0.1,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,36,0.8515528851735749,,,,0.003563493757996601,14,2000,0.6591836588321172,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,37,0.8456519215139905,,,,0.012561685941819662,11,305,1.0,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,38,0.8273017531638222,,,,0.0031795005261594394,13,86,1.0,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,39,0.8640340183443631,,,,0.00215017359716,12,1396,0.29145904283294854,,,
qsar-biodeg,0.25,XGBoost,BayesSearch,40,0.6711918030883548,,,,0.012303500414600346,10,2,0.1,,,
qsar-biodeg,0.25,SGDClassifier,RandomSearch,1,0.8789809009636596,,,,,,,,7.459343285726545e-05,0.9507143064099162,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,2,0.8640717520027865,,,,,,,,0.007915074397656213,0.596850157946487,l1
qsar-biodeg,0.25,SGDClassifier,RandomSearch,3,0.8548066875653082,,,,,,,,6.025215736203857e-06,0.05808361216819946,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,4,0.8611662603041913,,,,,,,,0.0010129197956845733,0.7080725777960455,l1
qsar-biodeg,0.25,SGDClassifier,RandomSearch,5,0.8623592244281899,,,,,,,,1.914511128571072e-06,0.7219987722668247,l1
qsar-biodeg,0.25,SGDClassifier,RandomSearch,6,0.8700104493207941,,,,,,,,1.152644954031561e-05,0.18182496720710062,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,7,0.8872053872053872,,,,,,,,0.0012229467525390603,0.6116531604882809,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,8,0.883820968303727,,,,,,,,0.00014445251022763062,0.2912291401980419,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,9,0.8865595611285267,,,,,,,,9.984006580328649e-05,0.04666566321361543,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,10,0.8723688029722512,,,,,,,,0.00019069966103000426,0.7851759613930136,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,11,0.895744804365494,,,,,,,,8.171653749019031e-05,0.9832308858067882,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,12,0.833053233484268,,,,,,,,1.707072883030664e-06,0.6075448519014384,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,13,0.8625711134331824,,,,,,,,0.00017885301261862016,0.013264961159866528,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,14,0.9090560780215953,,,,,,,,0.06732248920775338,0.8083973481164611,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,15,0.8294859514687101,,,,,,,,1.201797402730995e-06,0.230893825622149,elasticnet
